Value,Name-et-EE,Name-en-GB,Name-ru-RU,Label-et-EE,Label-en-GB,Label-ru-RU,Parent,Level,Description-et-EE,Description-en-GB,Description-ru-RU,IsGenerated,IsValid,ValidFrom,ValidTo
3503,,,,Kriiva küla,Kriiva village,Деревня Крийва,0732,3,"Võru maakond, Setomaa vald, Kriiva küla","Võru county, Setomaa rural municipality, Kriiva village","Выруский уезд, волость Сетомаа, деревня Крийва",,1,,
3537,,,,Kuigõ küla,Kuigõ village,Деревня Куйгы,0732,3,"Võru maakond, Setomaa vald, Kuigõ küla","Võru county, Setomaa rural municipality, Kuigõ village","Выруский уезд, волость Сетомаа, деревня Куйгы",,1,,
3568,,,,Kuksina küla,Kuksina village,Деревня Куксина,0732,3,"Võru maakond, Setomaa vald, Kuksina küla","Võru county, Setomaa rural municipality, Kuksina village","Выруский уезд, волость Сетомаа, деревня Куксина",,1,,
3609,,,,Kundruse küla,Kundruse village,Деревня Кундрузе,0732,3,"Võru maakond, Setomaa vald, Kundruse küla","Võru county, Setomaa rural municipality, Kundruse village","Выруский уезд, волость Сетомаа, деревня Кундрузе",,1,,
3699,,,,Kusnetsova küla,Kusnetsova village,Деревня Куснетсова,0732,3,"Võru maakond, Setomaa vald, Kusnetsova küla","Võru county, Setomaa rural municipality, Kusnetsova village","Выруский уезд, волость Сетомаа, деревня Куснетсова",,1,,
3847,,,,Kõõru küla,Kõõru village,Деревня Кыыру,0732,3,"Võru maakond, Setomaa vald, Kõõru küla","Võru county, Setomaa rural municipality, Kõõru village","Выруский уезд, волость Сетомаа, деревня Кыыру",,1,,
3898,,,,Käre küla,Käre village,Деревня Kяре,0732,3,"Võru maakond, Setomaa vald, Käre küla","Võru county, Setomaa rural municipality, Käre village","Выруский уезд, волость Сетомаа, деревня Kяре",,1,,
3995,,,,Küllätüvä küla,Küllätüvä village,Деревня Кюллятювя,0732,3,"Võru maakond, Setomaa vald, Küllätüvä küla","Võru county, Setomaa rural municipality, Küllätüvä village","Выруский уезд, волость Сетомаа, деревня Кюллятювя",,1,,
4115,,,,Laossina küla,Laossina village,Деревня Лаоссина,0732,3,"Võru maakond, Setomaa vald, Laossina küla","Võru county, Setomaa rural municipality, Laossina village","Выруский уезд, волость Сетомаа, деревня Лаоссина",,1,,
4229,,,,Leimani küla,Leimani village,Деревня Леймани,0732,3,"Võru maakond, Setomaa vald, Leimani küla","Võru county, Setomaa rural municipality, Leimani village","Выруский уезд, волость Сетомаа, деревня Леймани",,1,,
4298,,,,Lepä küla,Lepä village,Деревня Лепя,0732,3,"Võru maakond, Setomaa vald, Lepä küla","Võru county, Setomaa rural municipality, Lepä village","Выруский уезд, волость Сетомаа, деревня Лепя",,1,,
4388,,,,Lindsi küla,Lindsi village,Деревня Линдси,0732,3,"Võru maakond, Setomaa vald, Lindsi küla","Võru county, Setomaa rural municipality, Lindsi village","Выруский уезд, волость Сетомаа, деревня Линдси",,1,,
4425,,,,Litvina küla,Litvina village,Деревня Литвина,0732,3,"Võru maakond, Setomaa vald, Litvina küla","Võru county, Setomaa rural municipality, Litvina village","Выруский уезд, волость Сетомаа, деревня Литвина",,1,,
4435,,,,Lobotka küla,Lobotka village,Деревня Лоботка,0732,3,"Võru maakond, Setomaa vald, Lobotka küla","Võru county, Setomaa rural municipality, Lobotka village","Выруский уезд, волость Сетомаа, деревня Лоботка",,1,,
4541,,,,Lütä küla,Lütä village,Деревня Лютя,0732,3,"Võru maakond, Setomaa vald, Lütä küla","Võru county, Setomaa rural municipality, Lütä village","Выруский уезд, волость Сетомаа, деревня Лютя",,1,,
4569,,,,Lutepää küla,Lutepää village,Деревня Лутепяэ,0732,3,"Võru maakond, Setomaa vald, Lutepää küla","Võru county, Setomaa rural municipality, Lutepää village","Выруский уезд, волость Сетомаа, деревня Лутепяэ",,1,,
4574,,,,Lutja küla,Lutja village,Деревня Лутья,0732,3,"Võru maakond, Setomaa vald, Lutja küla","Võru county, Setomaa rural municipality, Lutja village","Выруский уезд, волость Сетомаа, деревня Лутья",,1,,
4697,,,,Lüübnitsa küla,Lüübnitsa village,Деревня Люйбнитса,0732,3,"Võru maakond, Setomaa vald, Lüübnitsa küla","Võru county, Setomaa rural municipality, Lüübnitsa village","Выруский уезд, волость Сетомаа, деревня Люйбнитса",,1,,
4711,,,,Maaslova küla,Maaslova village,Деревня Мааслова,0732,3,"Võru maakond, Setomaa vald, Maaslova küla","Võru county, Setomaa rural municipality, Maaslova village","Выруский уезд, волость Сетомаа, деревня Мааслова",,1,,
4790,,,,Marinova küla,Marinova village,Деревня Маринова,0732,3,"Võru maakond, Setomaa vald, Marinova küla","Võru county, Setomaa rural municipality, Marinova village","Выруский уезд, волость Сетомаа, деревня Маринова",,1,,
4800,,,,Martsina küla,Martsina village,Деревня Мартсина,0732,3,"Võru maakond, Setomaa vald, Martsina küla","Võru county, Setomaa rural municipality, Martsina village","Выруский уезд, волость Сетомаа, деревня Мартсина",,1,,
4806,,,,Masluva küla,Masluva village,Деревня Маслува,0732,3,"Võru maakond, Setomaa vald, Masluva küla","Võru county, Setomaa rural municipality, Masluva village","Выруский уезд, волость Сетомаа, деревня Маслува",,1,,
4828,,,,Matsuri küla,Matsuri village,Деревня Матсури,0732,3,"Võru maakond, Setomaa vald, Matsuri küla","Võru county, Setomaa rural municipality, Matsuri village","Выруский уезд, волость Сетомаа, деревня Матсури",,1,,
4841,,,,Miikse küla,Miikse village,Деревня Мийксе,0732,3,"Võru maakond, Setomaa vald, Miikse küla","Võru county, Setomaa rural municipality, Miikse village","Выруский уезд, волость Сетомаа, деревня Мийксе",,1,,
4867,,,,Melso küla,Melso village,Деревня Мелсо,0732,3,"Võru maakond, Setomaa vald, Melso küla","Võru county, Setomaa rural municipality, Melso village","Выруский уезд, волость Сетомаа, деревня Мелсо",,1,,
4875,,,,Merekülä,Merekülä village,Деревня Мерекюля,0732,3,"Võru maakond, Setomaa vald, Merekülä","Võru county, Setomaa rural municipality, Merekülä village","Выруский уезд, волость Сетомаа, деревня Мерекюля",,1,,
4877,,,,Meremäe küla,Meremäe village,Деревня Меремяэ,0732,3,"Võru maakond, Setomaa vald, Meremäe küla","Võru county, Setomaa rural municipality, Meremäe village","Выруский уезд, волость Сетомаа, деревня Меремяэ",,1,,
4944,,,,Miku küla,Miku village,Деревня Мику,0732,3,"Võru maakond, Setomaa vald, Miku küla","Võru county, Setomaa rural municipality, Miku village","Выруский уезд, волость Сетомаа, деревня Мику",,1,,
4952,,,,Mikitamäe küla,Mikitamäe village,Деревня Микитамяэ,0732,3,"Võru maakond, Setomaa vald, Mikitamäe küla","Võru county, Setomaa rural municipality, Mikitamäe village","Выруский уезд, волость Сетомаа, деревня Микитамяэ",,1,,
4970,,,,Mokra küla,Mokra village,Деревня Мокра,0732,3,"Võru maakond, Setomaa vald, Mokra küla","Võru county, Setomaa rural municipality, Mokra village","Выруский уезд, волость Сетомаа, деревня Мокра",,1,,
5299,,,,Määsi küla,Määsi village,Деревня Мяэзи,0732,3,"Võru maakond, Setomaa vald, Määsi küla","Võru county, Setomaa rural municipality, Määsi village","Выруский уезд, волость Сетомаа, деревня Мяэзи",,1,,
5301,,,,Määsovitsa küla,Määsovitsa village,Деревня Мяэзовитса,0732,3,"Võru maakond, Setomaa vald, Määsovitsa küla","Võru county, Setomaa rural municipality, Määsovitsa village","Выруский уезд, волость Сетомаа, деревня Мяэзовитса",,1,,
5347,,,,Napi küla,Napi village,Деревня Напи,0732,3,"Võru maakond, Setomaa vald, Napi küla","Võru county, Setomaa rural municipality, Napi village","Выруский уезд, волость Сетомаа, деревня Напи",,1,,
5377,,,,Navikõ küla,Navikõ village,Деревня Навикы,0732,3,"Võru maakond, Setomaa vald, Navikõ küla","Võru county, Setomaa rural municipality, Navikõ village","Выруский уезд, волость Сетомаа, деревня Навикы",,1,,
5387,,,,Nedsaja küla,Nedsaja village,Деревня Недсая,0732,3,"Võru maakond, Setomaa vald, Nedsaja küla","Võru county, Setomaa rural municipality, Nedsaja village","Выруский уезд, волость Сетомаа, деревня Недсая",,1,,
